pickup_hour,tarifa_promedio
0,28.579594996942674
1,25.905752179080988
2,24.60399141876431
3,26.7159886660854
4,32.48351708786169
5,37.56400262992403
6,30.15387146699167
7,26.553679549811015
8,25.545238409953523
9,25.904247109780183
10,26.063932897107602
11,25.47602978360852
12,25.73118046608163
13,26.50757305219303
14,27.66275877372783
15,27.407625249356624
16,29.759033025498166
17,28.157131009621185
18,26.851208728873758
19,27.67212603754164
20,27.29101884414761
21,27.46525271186475
22,28.38647215851914
23,29.598283775387877
