pickup_hour,total_viajes,duracion_promedio_min,duracion_std,tarifa_promedio,tarifa_std,duracion_p25,duracion_p50,duracion_p75,tarifa_p25,tarifa_p50,tarifa_p75
0,97363,15.203511258554707,41.142237161671204,27.586617503568966,20.1806868920164,7.616666666666666,12.033333333333333,18.15,16.3,21.35,30.6
1,62021,13.887946287010353,38.21025787959902,25.0624456232566,17.609331156342904,7.216666666666667,11.2,16.583333333333332,15.7,20.2,27.9
2,40911,13.572961632160858,45.261260868957386,23.742322602723007,15.774192015133233,6.816666666666666,10.616666666666667,15.783333333333333,15.48,19.68,26.79
3,25715,13.252724739127578,39.231835624612685,25.06027182578269,18.030711583530035,6.6,10.316666666666666,15.8,15.48,19.68,28.08
4,19287,15.07216346070757,37.53916175519158,31.302591382796777,24.897477618841357,7.0,11.683333333333334,18.7,15.7,22.0,36.4
5,21503,16.610553566169045,30.27899496638543,35.45455564339876,29.566695371791454,6.35,11.3,21.416666666666668,15.18,21.81,48.7
6,50283,16.466679924958065,27.696548000258893,30.30592705288091,26.793476520955696,6.366666666666666,10.433333333333334,18.6,14.28,19.3,32.76
7,99259,16.37815076382667,26.839257834188793,27.202192345277993,23.36090551240306,6.966666666666667,11.15,18.333333333333332,14.6,19.11,27.72
8,131729,16.540965163327737,26.402512962754972,26.350434452549784,20.61424773052845,7.683333333333334,12.466666666666667,19.85,15.1,19.94,28.2
9,141366,16.783556630778698,31.87540834002053,26.4869143924277,20.07103778491909,7.833333333333333,12.866666666666667,20.5,15.12,20.15,28.62
10,150021,17.14819958539129,28.1612560489258,27.22722098906109,21.35728767251252,7.866666666666666,13.066666666666666,21.25,15.12,20.16,29.4
11,163219,17.855104389399145,32.27983438342075,27.318359688516413,21.182488550762223,8.166666666666666,13.516666666666667,21.9,15.12,20.16,29.4
12,179858,18.281743004666556,32.514645833462154,27.86643969131127,21.771617680718407,8.3,13.8,22.5,15.12,20.3,30.1
13,185968,19.20682949037828,36.2459947153502,29.078499903208293,23.642138538125604,8.433333333333334,14.033333333333333,23.2,15.4,20.9,31.05
14,196682,19.92612584442588,36.833411430615485,29.681623839496154,24.384090864943065,8.6,14.3,23.883333333333333,15.4,21.0,31.5
15,201961,20.451450114956195,40.24770766386876,29.601601002172774,24.480838865273736,8.633333333333333,14.35,24.0,15.47,21.0,31.08
16,206738,20.35937442560137,41.46648635261063,31.428719248516522,25.08558871415146,8.5,14.216666666666667,23.916666666666668,17.28,22.8,33.0
17,230025,18.422470383654126,32.85336637666245,29.286528855558696,21.627120940567053,8.35,13.816666666666666,22.383333333333333,17.28,22.4,31.2
18,241371,16.71474645531842,32.39256039437558,28.26549133905869,20.65228743840938,7.916666666666667,12.933333333333334,20.5,17.25,22.0,29.96
19,212485,15.507118149516335,30.450312588072993,28.05305875708872,20.776545328905556,7.583333333333333,12.25,19.233333333333334,16.9,21.48,29.6
20,202650,15.125666584423094,30.868963663506076,26.935387416727554,19.928763808931723,7.65,12.15,18.75,16.15,20.52,28.92
21,208143,15.133879912688263,38.24010227358616,26.898622869853096,19.420544967519,7.816666666666666,12.3,18.666666666666668,16.32,21.0,29.1
22,197345,15.409073534503912,32.64019116437768,27.51122663355973,19.464196953459382,8.016666666666667,12.65,19.15,16.4,21.37,30.31
23,148177,15.97865593175729,43.017435636588125,29.09543410920673,22.66621918901946,8.0,12.716666666666667,19.483333333333334,16.4,21.9,31.88
