pickup_hour,total_viajes,mae,rmse,pred_promedio,real_promedio
0,110051,5.876200789184851,42.182796627022405,17.571733125932557,15.834698306542649
1,71027,5.542641311565981,46.19315666682272,16.12048585981581,14.222604314791095
2,46504,5.298400115575691,45.63720505354158,15.089080986559463,13.564405570846933
3,29581,5.970589404441725,52.57925722915453,15.218828532593463,14.034953179405692
4,20723,6.068255937754415,37.77671736203833,17.71986733710761,14.748881275233623
5,21088,6.3758961004998405,44.17501988890917,19.38641086805175,17.553925613302965
6,45510,5.900982767603584,44.55343314921587,17.528117453035446,17.246319856441787
7,86791,5.237756560242372,37.61362048153619,16.31397381587526,16.39412880751846
8,125075,4.805620270283888,34.99844103620134,17.864650208147978,16.96934106202942
9,140268,4.307836171554629,34.88370437807023,17.519792254621503,17.305747925399956
10,153044,3.9906327473478913,34.78048533086386,17.548088764534075,17.649715005706465
11,168668,4.099195675118188,31.65675791004911,19.534346030762887,18.228460545766453
12,183443,15.282364264621394,59.86327688756959,30.777186880502356,18.591284395334363
13,192638,15.560213448352727,61.220869298940414,31.548501820484038,19.343385001920687
14,206134,16.004249739372582,61.2719315897074,32.157844452014565,20.251744496298688
15,209851,16.451227724910332,63.42337465013446,32.31823006989847,20.817277655733427
16,211037,16.386656349106676,64.10292917439124,32.518027266370574,20.66934115818572
17,228831,16.42139185340146,62.028040561889036,31.98141014522871,19.334792197444155
18,241504,17.391951860005694,64.24144652762,31.365189356429354,17.285785397619353
19,207494,17.16579189142461,64.04629246780318,30.520810814739022,16.431573202116702
20,184650,15.956847813306172,62.23095664781822,28.581767749069204,16.009729759003648
21,197252,14.847666790354888,60.71404359273285,27.530148826332933,16.0730286638411
22,191653,14.600352000810178,58.758604817218156,27.703559928366833,16.183190801431007
23,155255,15.12556302940253,60.007527115501,28.00659021904972,16.396862580915222
