pickup_hour,pickup_dow,total_viajes
0,1,17957
1,1,15154
2,1,11567
3,1,7636
4,1,4705
5,1,1984
6,1,3228
7,1,4519
8,1,6791
9,1,10607
10,1,14588
11,1,17116
12,1,20202
13,1,21812
14,1,23324
15,1,21038
16,1,20226
17,1,21355
18,1,20678
19,1,18217
20,1,17140
21,1,17181
22,1,13610
23,1,10182
0,2,9577
1,2,4779
2,2,2250
3,2,1541
4,2,2007
5,2,3749
6,2,8392
7,2,15373
8,2,22248
9,2,22446
10,2,22257
11,2,23384
12,2,25668
13,2,27231
14,2,28867
15,2,28735
16,2,28854
17,2,30941
18,2,31196
19,2,26520
20,2,25030
21,2,24147
22,2,18203
23,2,12265
0,3,7297
1,3,3176
2,3,1505
3,3,953
4,3,1150
5,3,3067
6,3,8160
7,3,16616
8,3,25683
9,3,26047
10,3,25514
11,3,26624
12,3,28610
13,3,29752
14,3,31811
15,3,31744
16,3,32021
17,3,36095
18,3,40235
19,3,33411
20,3,31030
21,3,34586
22,3,28710
23,3,17419
0,4,8702
1,4,4126
2,4,2048
3,4,1161
4,4,1432
5,4,3201
6,4,8555
7,4,16273
8,4,25656
9,4,25490
10,4,25350
11,4,27087
12,4,29501
13,4,30952
14,4,31824
15,4,32161
16,4,32865
17,4,37014
18,4,38265
19,4,32659
20,4,30528
21,4,36164
22,4,32801
23,4,19856
0,5,9140
1,5,5187
2,5,2985
3,5,1854
4,5,1606
5,5,2625
6,5,5999
7,5,11528
8,5,16930
9,5,17760
10,5,18196
11,5,19170
12,5,20946
13,5,22212
14,5,23537
15,5,24093
16,5,24809
17,5,27337
18,5,28108
19,5,23996
20,5,22249
21,5,24471
22,5,25279
23,5,20205
0,6,12457
1,6,6432
2,6,3760
3,6,2267
4,6,1881
5,6,2506
6,6,5528
7,6,9187
8,6,13294
9,6,14627
10,6,15877
11,6,18029
12,6,19798
13,6,21146
14,6,22502
15,6,22856
16,6,22954
17,6,23527
18,6,25187
19,6,24883
20,6,19217
21,6,19291
22,6,20188
23,6,19426
0,7,17241
1,7,14272
2,7,10463
3,7,6489
4,7,3460
5,7,1634
6,7,3406
7,7,5060
8,7,7095
9,7,10650
10,7,15022
11,7,17729
12,7,19553
13,7,20965
14,7,20831
15,7,21759
16,7,23088
17,7,23539
18,7,23641
19,7,21620
20,7,18783
21,7,18592
22,7,20418
23,7,20091
