pu_location,total_viajes,distancia_promedio,duracion_promedio_min,tarifa_promedio
132,176524,16.007681221816956,48.04353043589909,83.65653406901137
237,161588,2.7743820085649884,13.435114406185287,21.31887231725111
161,149069,3.822060656474519,16.98783270387085,25.953132374940257
236,145089,1.9765781003384064,13.33892197203098,21.43933427068884
186,116769,3.887197715147005,18.385754495342653,26.135544707927544
162,113810,2.3879154731570114,16.30817912895764,25.179411387399977
230,108994,3.6184297300768806,18.934441804135982,30.00222792080278
138,108041,9.773885099175363,35.96129324361443,70.24190390685033
142,104406,2.237390858762925,14.522800892668997,22.95241633622603
68,100817,4.052058085441947,18.837598487027687,26.650078954938106
170,98135,2.380875121006762,16.266192489937335,25.003283639883726
234,97132,5.285931721780686,15.628931076610563,23.400367952888896
239,91383,5.860108663537011,13.766925102772644,22.43306621581699
163,89646,2.5915344800660347,16.888780685511087,26.096308480021495
48,84955,2.5967432169972278,15.630547544778599,24.798496851274212
249,84152,3.005741277687997,15.797387465538533,23.404013095351278
79,82569,2.7194266613377978,15.225266948451196,23.535860189659473
164,78842,2.495542096851936,16.590825955708848,25.452192359402215
141,75631,5.488315108883923,13.428461433362884,21.516335497348972
107,69253,4.238335667768902,14.837878262794883,22.986496758263275
